No,V/kV,Angle/бу,P/MVA,Q/MVA
0,12.66,0.0,2.612679,1.766886
1,12.634413,0.014368,-0.1,-0.06
2,12.51019,0.094508,-0.09,-0.04
3,12.455514,0.158525,-0.12,-0.08
4,12.403515,0.223083,-0.06,-0.03
5,12.272989,0.244167,-0.06,-0.02
6,12.254818,0.146305,-0.2,-0.1
7,12.236373,0.152225,-0.2,-0.1
8,12.228821,0.135271,-0.06,-0.02
9,12.227512,0.127394,-0.06,-0.02
10,12.228301,0.126453,-0.045,-0.03
11,12.231484,0.122495,-0.06,-0.035
12,12.15731,0.038469,-0.06,-0.035
13,12.129808,-0.033848,-0.12,-0.08
14,12.112674,-0.068476,-0.06,-0.01
15,12.096079,-0.089843,-0.06,-0.02
16,12.071488,-0.160805,-0.06,-0.02
17,12.064124,-0.16961,-0.09,-0.04
18,12.631586,0.008913,-0.09,-0.04
19,12.621047,-0.014346,-0.09,-0.04
20,12.612164,-0.033549,-0.09,-0.04
21,12.604127,-0.053734,-0.09,-0.04
22,12.465041,0.063873,-0.09,-0.05
23,12.381042,-0.023911,-0.42,-0.2
24,12.339177,-0.067139,-0.42,-0.2
25,12.257453,0.28227,-0.06,-0.025
26,12.237401,0.336385,-0.06,-0.025
27,12.095962,0.415671,-0.06,-0.02
28,11.994356,0.490061,-0.12,-0.07
29,11.950375,0.590492,-0.2,-0.6
30,11.898936,0.509988,-0.15,-0.07
31,11.887619,0.488017,-0.21,-0.1
32,11.884113,0.480647,-0.06,-0.04
33,12.624856,-0.008583,0.2,0.1
34,12.245254,0.348642,0.4,0.2
35,12.243266,0.140891,0.6,0.3
