No,V/kV,Angle/бу,P/MVA,Q/MVA
0,12.66,0.0,3.455614,1.927072
1,12.627679,0.00547,-0.1,-0.06
2,12.477293,0.037885,-0.09,-0.04
3,12.40328,0.06608,-0.12,-0.08
4,12.331154,0.093082,-0.06,-0.03
5,12.156178,-0.037719,-0.06,-0.02
6,12.143042,-0.198355,-0.2,-0.1
7,12.115668,-0.256531,-0.2,-0.1
8,12.100856,-0.398863,-0.06,-0.02
9,12.092187,-0.533088,-0.06,-0.02
10,12.090591,-0.551945,-0.045,-0.03
11,12.089257,-0.590084,-0.06,-0.035
12,12.106983,-0.762877,-0.06,-0.035
13,12.124382,-0.823363,-0.12,-0.08
14,12.146627,-0.883455,-0.06,-0.01
15,12.175209,-0.955035,-0.06,-0.02
16,12.258341,-0.992031,-0.06,-0.02
17,12.296711,-1.043366,-0.09,-0.04
18,12.620993,-0.005352,-0.09,-0.04
19,12.57572,-0.072274,-0.09,-0.04
20,12.566804,-0.091616,-0.09,-0.04
21,12.558738,-0.111946,-0.09,-0.04
22,12.432021,0.007089,-0.09,-0.05
23,12.347796,-0.081165,-0.42,-0.2
24,12.305817,-0.124627,-0.42,-0.2
25,12.132038,0.000859,-0.06,-0.025
26,12.09996,0.055757,-0.06,-0.025
27,11.956828,0.136864,-0.06,-0.02
28,11.854005,0.213002,-0.12,-0.07
29,11.809496,0.315839,-0.2,-0.6
30,11.757436,0.233395,-0.15,-0.07
31,11.745983,0.210892,-0.21,-0.1
32,11.742435,0.203343,-0.06,-0.04
33,12.30801,-1.047472,0.4,0.467673
