No,V/kV,Angle/бу,P/MVA,Q/MVA
0,12.66,0.0,2.919026,2.438119
1,12.629692,0.031391,-0.1,-0.06
2,12.451374,0.112848,-0.09,-0.04
3,12.35672,0.178374,-0.12,-0.08
4,12.263135,0.244922,-0.06,-0.03
5,12.030334,0.150609,-0.06,-0.02
6,11.986236,-0.079419,-0.2,-0.1
7,11.92495,-0.043397,-0.2,-0.1
8,11.845638,-0.116383,-0.06,-0.02
9,11.77207,-0.17883,-0.06,-0.02
10,11.76119,-0.171587,-0.045,-0.03
11,11.742218,-0.160111,-0.06,-0.035
12,11.66488,-0.251306,-0.06,-0.035
13,11.636202,-0.32988,-0.12,-0.08
14,11.618335,-0.367511,-0.06,-0.01
15,11.601029,-0.390734,-0.06,-0.02
16,11.575382,-0.467896,-0.06,-0.02
17,11.567702,-0.477473,-0.09,-0.04
18,12.63586,0.076764,-0.09,-0.04
19,12.708864,0.4943,-0.09,-0.04
20,12.700042,0.475362,-0.09,-0.04
21,12.692061,0.455456,-0.09,-0.04
22,12.406006,0.081923,-0.09,-0.05
23,12.321601,-0.006704,-0.42,-0.2
24,12.279532,-0.050352,-0.42,-0.2
25,12.005926,0.190014,-0.06,-0.025
26,11.973491,0.246094,-0.06,-0.025
27,11.828764,0.328933,-0.06,-0.02
28,11.724793,0.406735,-0.12,-0.07
29,11.679787,0.511864,-0.2,-0.6
30,11.627143,0.427571,-0.15,-0.07
31,11.615561,0.40456,-0.21,-0.1
32,11.611973,0.39684,-0.06,-0.04
33,12.721456,0.551104,1.0,-6.1e-05
