No,V/kV,Angle/бу,P/MVA,Q/MVA
0,12.66,0.0,2.802898,0.550562
1,12.637545,-0.028998,-0.1,-0.06
2,12.53992,-0.182866,-0.09,-0.04
3,12.504938,-0.294663,-0.12,-0.08
4,12.473465,-0.41434,-0.06,-0.03
5,12.417896,-0.791433,-0.06,-0.02
6,12.375246,-1.007054,-0.2,-0.1
7,12.315969,-0.973367,-0.2,-0.1
8,12.239287,-1.04177,-0.06,-0.02
9,12.168166,-1.10025,-0.06,-0.02
10,12.157647,-1.093484,-0.045,-0.03
11,12.139307,-1.082769,-0.06,-0.035
12,12.064557,-1.16808,-0.06,-0.035
13,12.036841,-1.241517,-0.12,-0.08
14,12.019574,-1.276683,-0.06,-0.01
15,12.00285,-1.298382,-0.06,-0.02
16,11.978066,-1.370453,-0.06,-0.02
17,11.970645,-1.379395,-0.09,-0.04
18,12.630864,-0.039803,-0.09,-0.04
19,12.585626,-0.106621,-0.09,-0.04
20,12.576718,-0.125932,-0.09,-0.04
21,12.568658,-0.14623,-0.09,-0.04
22,12.49488,-0.213356,-0.09,-0.05
23,12.411086,-0.300719,-0.42,-0.2
24,12.369322,-0.343737,-0.42,-0.2
25,12.425885,-0.852923,-0.06,-0.025
26,12.438754,-0.938282,-0.06,-0.025
27,12.521537,-1.225615,-0.06,-0.02
28,12.588967,-1.432348,-0.12,-0.07
29,12.624389,-1.579956,-0.2,-0.6
30,12.575723,-1.652062,-0.15,-0.07
31,12.565017,-1.67173,-0.21,-0.1
32,12.5617,-1.678326,-0.06,-0.04
33,12.66,-1.626681,1.0,1.813216
