No,V/kV,Angle/бу,P/MVA,Q/MVA
0,12.66,0.0,3.917677,2.435141
1,12.622428,0.014481,-0.1,-0.06
2,12.443995,0.096042,-0.09,-0.04
3,12.349278,0.161651,-0.12,-0.08
4,12.25563,0.228285,-0.06,-0.03
5,12.022673,0.133853,-0.06,-0.02
6,11.978545,-0.096474,-0.2,-0.1
7,11.917218,-0.060403,-0.2,-0.1
8,11.837852,-0.133484,-0.06,-0.02
9,11.764234,-0.196014,-0.06,-0.02
10,11.753347,-0.188761,-0.045,-0.03
11,11.734362,-0.177269,-0.06,-0.035
12,11.65697,-0.268587,-0.06,-0.035
13,11.628273,-0.347267,-0.12,-0.08
14,11.610393,-0.38495,-0.06,-0.01
15,11.593075,-0.408205,-0.06,-0.02
16,11.567411,-0.485473,-0.06,-0.02
17,11.559725,-0.495063,-0.09,-0.04
18,12.615739,0.003651,-0.09,-0.04
19,12.570447,-0.063328,-0.09,-0.04
20,12.561528,-0.082686,-0.09,-0.04
21,12.553458,-0.103033,-0.09,-0.04
22,12.3986,0.06508,-0.09,-0.05
23,12.314143,-0.023654,-0.42,-0.2
24,12.272048,-0.067355,-0.42,-0.2
25,11.998248,0.17331,-0.06,-0.025
26,11.965791,0.229463,-0.06,-0.025
27,11.820966,0.312409,-0.06,-0.02
28,11.716925,0.390314,-0.12,-0.07
29,11.671888,0.495586,-0.2,-0.6
30,11.619207,0.411178,-0.15,-0.07
31,11.607618,0.388135,-0.21,-0.1
32,11.604027,0.380405,-0.06,-0.04
